Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All Admin,,,,2021-09-01 20:20:39,2021-09-01 20:20:50,"11,545s",PASSED
,,,,,,,
Test Cases/Admin/Get Organization Information,,,,2021-09-01 20:20:39,2021-09-01 20:20:43,"3,383s",PASSED
"response = sendRequest(findTestObject(""Admin/Get Organizations""))",,,,2021-09-01 20:20:40,2021-09-01 20:20:43,"2,781s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,036s",PASSED
"verifyElementPropertyValue(response, ""data.name"", ""Sekolah QA"")",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,050s",PASSED
"verifyElementPropertyValue(response, ""data.id"", 1)",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,025s",PASSED
,,,,,,,
Test Cases/Admin/Get User,,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,825s",PASSED
"response = sendRequest(findTestObject(""Admin/Get Users""))",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,417s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,010s",PASSED
"verifyElementPropertyValue(response, ""data[0].employeeName"", ""Zidan Aqila Muhammad"")",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,045s",PASSED
"verifyElementPropertyValue(response, ""data[1].employeeName"", ""asdw sasd ok"")",,,,2021-09-01 20:20:43,2021-09-01 20:20:43,"0,032s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty Password,,,,2021-09-01 20:20:43,2021-09-01 20:20:44,"0,603s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":""""]))",,,,2021-09-01 20:20:44,2021-09-01 20:20:44,"0,311s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-09-01 20:20:44,2021-09-01 20:20:44,"0,004s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""password must not be empty"")",,,,2021-09-01 20:20:44,2021-09-01 20:20:44,"0,018s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty Username,,,,2021-09-01 20:20:44,2021-09-01 20:20:45,"1,144s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":"""", ""password"":password]))",,,,2021-09-01 20:20:45,2021-09-01 20:20:45,"0,609s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-09-01 20:20:45,2021-09-01 20:20:45,"0,003s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""username must not be empty"")",,,,2021-09-01 20:20:45,2021-09-01 20:20:45,"0,075s",PASSED
,,,,,,,
Test Cases/Admin/User Login Empty,,,,2021-09-01 20:20:45,2021-09-01 20:20:46,"0,938s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":"""", ""password"":""""]))",,,,2021-09-01 20:20:46,2021-09-01 20:20:46,"0,450s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-09-01 20:20:46,2021-09-01 20:20:46,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""username must not be empty"")",,,,2021-09-01 20:20:46,2021-09-01 20:20:46,"0,033s",PASSED
,,,,,,,
Test Cases/Admin/User Login Invalid Password,,,,2021-09-01 20:20:46,2021-09-01 20:20:47,"1,260s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":username, ""password"":inpassword]))",,,,2021-09-01 20:20:47,2021-09-01 20:20:47,"0,720s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-09-01 20:20:47,2021-09-01 20:20:47,"0,008s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Credentials Are Wrong Please Try Again"")",,,,2021-09-01 20:20:47,2021-09-01 20:20:47,"0,045s",PASSED
,,,,,,,
Test Cases/Admin/User Login Invalid Username,,,,2021-09-01 20:20:47,2021-09-01 20:20:49,"1,379s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login"", [""username"":inusername, ""password"":password]))",,,,2021-09-01 20:20:48,2021-09-01 20:20:49,"0,751s",PASSED
"verifyResponseStatusCode(response, 202)",,,,2021-09-01 20:20:49,2021-09-01 20:20:49,"0,000s",PASSED
"verifyElementPropertyValue(response, ""error.text"", ""Credentials Are Wrong Please Try Again"")",,,,2021-09-01 20:20:49,2021-09-01 20:20:49,"0,040s",PASSED
,,,,,,,
Test Cases/Admin/User Login,,,,2021-09-01 20:20:49,2021-09-01 20:20:50,"1,562s",PASSED
"response = sendRequest(findTestObject(""Admin/User Login""))",,,,2021-09-01 20:20:49,2021-09-01 20:20:50,"0,895s",PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-09-01 20:20:50,2021-09-01 20:20:50,"0,000s",PASSED
"verifyElementPropertyValue(response, ""user.userRole"", ""Admin"")",,,,2021-09-01 20:20:50,2021-09-01 20:20:50,"0,047s",PASSED
"verifyElementPropertyValue(response, ""user.status"", ""Enabled"")",,,,2021-09-01 20:20:50,2021-09-01 20:20:50,"0,029s",PASSED
"verifyElementPropertyValue(response, ""user.employeeName"", ""Zidan Aqila Muhammad"")",,,,2021-09-01 20:20:50,2021-09-01 20:20:50,"0,033s",PASSED
